schema_ver,program,domain,notes,allow_subdomains,allow_api,allow_mobile,rate_limit_rps,headers_file,auth_file
1,"Porsche Bug Bounty","porsche-zentrum-niederrhein.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche-zentrum-olympiapark.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche-zentrum-paderborn.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche-zentrum-pforzheim.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche-zentrum-reutlingen.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche-zentrum-seestern.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche-zentrum-solingen-remscheid.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche-zentrum-wuppertal.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche-zentrum.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche.biz","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche.digital","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porsche.it","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porschediesellookup.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porscheengineering.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porscheenglewood.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porschefortcollins.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porschegolfusa.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porschetravels.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porschezentrum-berlin-sued.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porschezentrum-berlin.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porschezentrum-muenchen-sued.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porschezentrumbremen.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","porshe-design.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
